soc_code,isco_code,occupation,fo_probability,task_routine,task_cognitive,task_manual,lmic_note,risk_category,region,lmic_calibration_factor,lmic_adjusted_probability,lmic_risk_category
45-2041,6111,Graders and sorters of agricultural products,0.91,0.85,0.15,0.65,Routine sorting highly automatable,High,Sub-Saharan Africa,0.65,0.592,Medium
45-2091,6121,Agricultural equipment operators,0.55,0.55,0.3,0.75,Precision ag automation; LMIC lag due to costs,Medium,Sub-Saharan Africa,0.65,0.358,Medium
45-2092,6113,"Farmworkers and laborers, crop",0.85,0.78,0.1,0.9,Routine harvest; LMIC low automation due to cheap labour,High,Sub-Saharan Africa,0.65,0.552,Medium
45-2093,6121,"Farmworkers, farm equipment operators",0.63,0.6,0.2,0.8,,Medium,Sub-Saharan Africa,0.65,0.41,Medium
45-4011,6310,Forest and conservation workers,0.27,0.4,0.45,0.8,,Low,Sub-Saharan Africa,0.65,0.176,Low
45-4021,6310,Fallers,0.43,0.5,0.2,0.85,,Medium,Sub-Saharan Africa,0.65,0.28,Low
45-4022,6310,Logging equipment operators,0.64,0.6,0.2,0.8,,Medium,Sub-Saharan Africa,0.65,0.416,Medium
45-4023,6310,Log graders and scalers,0.55,0.55,0.3,0.65,,Medium,Sub-Saharan Africa,0.65,0.358,Medium
47-1011,7110,First-line supervisors of construction,0.1,0.25,0.7,0.55,Coordination role protects,Low,Sub-Saharan Africa,0.65,0.065,Low
47-2011,7131,Boilermakers,0.38,0.45,0.45,0.8,,Medium,Sub-Saharan Africa,0.65,0.247,Low
47-2021,7112,Brickmasons and blockmasons,0.7,0.62,0.2,0.9,Physical/irregular protects in LMIC,High,Sub-Saharan Africa,0.65,0.455,Medium
47-2022,7112,Stonemasons,0.7,0.62,0.2,0.9,,High,Sub-Saharan Africa,0.65,0.455,Medium
47-2031,7131,Carpenters,0.33,0.42,0.35,0.85,,Medium,Sub-Saharan Africa,0.65,0.215,Low
47-2041,7131,Carpet installers,0.49,0.5,0.2,0.85,,Medium,Sub-Saharan Africa,0.65,0.318,Medium
47-2042,7131,"Floor layers, except carpet",0.39,0.45,0.2,0.85,,Medium,Sub-Saharan Africa,0.65,0.254,Low
47-2044,7131,Tile and marble setters,0.39,0.45,0.2,0.85,,Medium,Sub-Saharan Africa,0.65,0.254,Low
47-2051,7121,Cement masons and concrete finishers,0.7,0.65,0.15,0.9,,High,Sub-Saharan Africa,0.65,0.455,Medium
47-2061,7131,Construction laborers,0.88,0.8,0.1,0.9,Physical routine; LMIC labour cost protects,High,Sub-Saharan Africa,0.65,0.572,Medium
47-2071,7123,"Paving, surfacing, and tamping operators",0.88,0.82,0.12,0.85,,High,Sub-Saharan Africa,0.65,0.572,Medium
47-2111,7131,Electricians,0.15,0.28,0.55,0.8,Perception/manipulation in irregular settings,Low,Sub-Saharan Africa,0.65,0.098,Low
47-2121,7131,Glaziers,0.75,0.68,0.2,0.82,,High,Sub-Saharan Africa,0.65,0.488,Medium
47-2131,7131,"Insulation workers, floor, ceiling, wall",0.61,0.58,0.15,0.85,,Medium,Sub-Saharan Africa,0.65,0.396,Medium
47-2132,7131,"Insulation workers, mechanical",0.58,0.55,0.18,0.82,,Medium,Sub-Saharan Africa,0.65,0.377,Medium
47-2141,7131,"Painters, construction and maintenance",0.38,0.45,0.25,0.85,,Medium,Sub-Saharan Africa,0.65,0.247,Low
47-2151,7131,Pipelayers,0.71,0.65,0.18,0.87,,High,Sub-Saharan Africa,0.65,0.461,Medium
47-2152,7126,"Plumbers, pipefitters, steamfitters",0.38,0.42,0.4,0.82,,Medium,Sub-Saharan Africa,0.65,0.247,Low
47-2161,7131,Plasterers and stucco masons,0.76,0.68,0.15,0.88,,High,Sub-Saharan Africa,0.65,0.494,Medium
47-2181,7131,Roofers,0.9,0.82,0.1,0.9,,High,Sub-Saharan Africa,0.65,0.585,Medium
47-2211,7131,Sheet metal workers,0.68,0.6,0.3,0.82,,Medium,Sub-Saharan Africa,0.65,0.442,Medium
47-2221,7131,Structural iron and steel workers,0.87,0.78,0.15,0.88,,High,Sub-Saharan Africa,0.65,0.566,Medium
47-3011,7131,"Helpers--Brickmasons, blockmasons",0.97,0.9,0.08,0.9,,High,Sub-Saharan Africa,0.65,0.63,Medium
47-3012,7131,Helpers--Carpenters,0.97,0.9,0.08,0.9,,High,Sub-Saharan Africa,0.65,0.63,Medium
47-3013,7131,Helpers--Electricians,0.87,0.8,0.18,0.82,,High,Sub-Saharan Africa,0.65,0.566,Medium
47-3014,7131,"Helpers--Painters, paperhangers, plasterers",0.94,0.88,0.1,0.88,,High,Sub-Saharan Africa,0.65,0.611,Medium
47-3015,7131,"Helpers--Pipelayers, plumbers, pipefitters",0.94,0.88,0.12,0.88,,High,Sub-Saharan Africa,0.65,0.611,Medium
47-3016,7131,Helpers--Roofers,0.97,0.9,0.08,0.9,,High,Sub-Saharan Africa,0.65,0.63,Medium
47-4011,7131,Construction and building inspectors,0.12,0.28,0.72,0.4,Judgment/safety role; durable,Low,Sub-Saharan Africa,0.65,0.078,Low
47-4041,7131,Hazardous materials removal workers,0.19,0.35,0.45,0.75,,Low,Sub-Saharan Africa,0.65,0.124,Low
47-4051,7131,Highway maintenance workers,0.75,0.68,0.15,0.87,,High,Sub-Saharan Africa,0.65,0.488,Medium
47-4061,7131,Rail-track laying and maintenance equipment ops,0.66,0.6,0.18,0.85,,Medium,Sub-Saharan Africa,0.65,0.429,Medium
49-1011,7231,First-line supervisors of mechanics,0.14,0.28,0.68,0.55,,Low,Sub-Saharan Africa,0.65,0.091,Low
49-3011,7231,Aircraft mechanics and service technicians,0.15,0.3,0.65,0.72,Safety bottleneck,Low,Sub-Saharan Africa,0.65,0.098,Low
49-3021,7231,Automotive body and related repairers,0.32,0.42,0.5,0.8,,Medium,Sub-Saharan Africa,0.65,0.208,Low
49-3022,7231,Automotive glass installers and repairers,0.35,0.45,0.4,0.8,,Medium,Sub-Saharan Africa,0.65,0.227,Low
49-3023,7231,Automotive service technicians and mechanics,0.29,0.4,0.55,0.78,Diagnostics AI growing; LMIC lag,Low,Sub-Saharan Africa,0.65,0.188,Low
49-3031,7231,"Bus and truck mechanics, diesel specialists",0.28,0.4,0.55,0.78,,Low,Sub-Saharan Africa,0.65,0.182,Low
49-3041,7231,Farm equipment mechanics and service tech,0.24,0.38,0.55,0.78,,Low,Sub-Saharan Africa,0.65,0.156,Low
49-3042,7231,Mobile heavy equipment mechanics,0.2,0.35,0.58,0.8,,Low,Sub-Saharan Africa,0.65,0.13,Low
49-3043,7231,Rail car repairers,0.24,0.38,0.52,0.75,,Low,Sub-Saharan Africa,0.65,0.156,Low
49-3051,7231,Motorboat mechanics and service technicians,0.28,0.4,0.52,0.75,,Low,Sub-Saharan Africa,0.65,0.182,Low
49-3052,7231,Motorcycle mechanics,0.34,0.44,0.48,0.78,,Medium,Sub-Saharan Africa,0.65,0.221,Low
49-3053,7231,Outdoor power equipment and tools repairers,0.36,0.45,0.45,0.78,,Medium,Sub-Saharan Africa,0.65,0.234,Low
49-3091,7421,Bicycle repairers,0.94,0.88,0.22,0.72,Routine repair highly automatable,High,Sub-Saharan Africa,0.65,0.611,Medium
49-3092,7421,Recreational vehicle service technicians,0.34,0.45,0.5,0.75,,Medium,Sub-Saharan Africa,0.65,0.221,Low
49-3093,7421,Tire repairers and changers,0.89,0.82,0.15,0.8,,High,Sub-Saharan Africa,0.65,0.578,Medium
49-2011,7421,"Computer, automated teller, office machine repairers",0.03,0.18,0.65,0.72,Diagnostic skill; durable in LMIC informal market,Low,Sub-Saharan Africa,0.65,0.02,Low
49-2021,7421,"Radio, cellular, tower equipment installers",0.04,0.2,0.65,0.75,,Low,Sub-Saharan Africa,0.65,0.026,Low
49-2022,7421,Telecommunications equipment installers,0.05,0.22,0.65,0.72,,Low,Sub-Saharan Africa,0.65,0.032,Low
49-2094,7421,"Electrical and electronics repairers, commercial",0.18,0.32,0.6,0.72,,Low,Sub-Saharan Africa,0.65,0.117,Low
49-2095,7421,"Electrical and electronics repairers, powerhouse",0.02,0.15,0.7,0.7,,Low,Sub-Saharan Africa,0.65,0.013,Low
49-2096,7421,"Electronic equipment installers and repairers, motor vehicles",0.54,0.52,0.48,0.72,,Medium,Sub-Saharan Africa,0.65,0.351,Medium
49-2097,7421,Electronic home entertainment equipment installers,0.84,0.78,0.3,0.6,Consumer electronics repair consolidating,High,Sub-Saharan Africa,0.65,0.546,Medium
49-2098,7421,Security and fire alarm systems installers,0.12,0.28,0.58,0.72,,Low,Sub-Saharan Africa,0.65,0.078,Low
49-9021,7311,"Heating, AC, and refrigeration mechanics",0.35,0.44,0.52,0.8,,Medium,Sub-Saharan Africa,0.65,0.227,Low
49-9041,7311,Industrial machinery mechanics,0.65,0.6,0.42,0.78,,Medium,Sub-Saharan Africa,0.65,0.423,Medium
49-9051,7311,Electrical power-line installers and repairers,0.08,0.22,0.62,0.8,,Low,Sub-Saharan Africa,0.65,0.052,Low
49-9061,7311,Camera and photographic equipment repairers,0.52,0.52,0.48,0.7,,Medium,Sub-Saharan Africa,0.65,0.338,Medium
49-9071,7311,"Maintenance and repair workers, general",0.65,0.6,0.4,0.78,,Medium,Sub-Saharan Africa,0.65,0.423,Medium
49-9091,7311,"Coin, vending, and amusement machine servicers",0.91,0.85,0.2,0.55,,High,Sub-Saharan Africa,0.65,0.592,Medium
49-9095,7311,Manufactured building and mobile home installers,0.78,0.72,0.18,0.82,,High,Sub-Saharan Africa,0.65,0.507,Medium
49-9096,7311,Riggers,0.64,0.58,0.22,0.85,,Medium,Sub-Saharan Africa,0.65,0.416,Medium
49-9097,7311,Signal and track switch repairers,0.29,0.4,0.52,0.78,,Low,Sub-Saharan Africa,0.65,0.188,Low
49-9098,7311,"Helpers--Installation, maintenance, repair",0.9,0.84,0.15,0.82,,High,Sub-Saharan Africa,0.65,0.585,Medium
51-1011,8111,First-line supervisors of production workers,0.29,0.38,0.68,0.55,,Low,Sub-Saharan Africa,0.65,0.188,Low
51-2011,8211,Aircraft structure assemblers,0.51,0.52,0.4,0.78,,Medium,Sub-Saharan Africa,0.65,0.332,Medium
51-2021,8211,"Coil winders, tapers, finishers",0.97,0.92,0.12,0.75,,High,Sub-Saharan Africa,0.65,0.63,Medium
51-2031,8211,Engine and other machine assemblers,0.87,0.82,0.18,0.78,,High,Sub-Saharan Africa,0.65,0.566,Medium
51-2041,8211,Structural metal fabricators and fitters,0.78,0.72,0.25,0.82,,High,Sub-Saharan Africa,0.65,0.507,Medium
51-2051,8211,Fiberglass laminators and fabricators,0.87,0.82,0.12,0.8,,High,Sub-Saharan Africa,0.65,0.566,Medium
51-2091,8211,Adhesive bonding machine operators,0.96,0.92,0.1,0.75,,High,Sub-Saharan Africa,0.65,0.624,Medium
51-2092,8211,Team assemblers,0.81,0.76,0.18,0.78,,High,Sub-Saharan Africa,0.65,0.527,Medium
51-2093,8211,Timing device assemblers and adjusters,0.9,0.85,0.15,0.72,,High,Sub-Saharan Africa,0.65,0.585,Medium
