country,iso3,region,subregion,sector,fo_base_score,lmic_calibrated_score,calibration_factor,risk_label_global,risk_label_lmic,task_routine,task_cognitive,task_manual,informal_economy_pct,internet_penetration_pct,avg_wage_usd_month,source
Mali,MLI,Sub-Saharan Africa,West Africa,education,0.02,0.01,0.52,Low,Low,0.12,0.9,0.22,82.1,16.0,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mali,MLI,Sub-Saharan Africa,West Africa,domestic_svcs,0.28,0.146,0.52,Low,Low,0.32,0.28,0.8,82.1,16.0,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Guinea,GIN,Sub-Saharan Africa,West Africa,agriculture,0.68,0.238,0.5,High,Low,0.72,0.28,0.88,84.3,18.0,120,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Guinea,GIN,Sub-Saharan Africa,West Africa,trade_retail,0.89,0.334,0.5,High,Medium,0.82,0.32,0.42,84.3,18.0,120,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Guinea,GIN,Sub-Saharan Africa,West Africa,construction,0.71,0.355,0.5,High,Medium,0.64,0.28,0.88,84.3,18.0,120,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Guinea,GIN,Sub-Saharan Africa,West Africa,ict_services,0.38,0.247,0.5,Medium,Low,0.28,0.88,0.15,84.3,18.0,120,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Guinea,GIN,Sub-Saharan Africa,West Africa,manufacturing,0.88,0.361,0.5,High,Medium,0.86,0.22,0.78,84.3,18.0,120,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Guinea,GIN,Sub-Saharan Africa,West Africa,health_social,0.18,0.09,0.5,Low,Low,0.22,0.82,0.58,84.3,18.0,120,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Guinea,GIN,Sub-Saharan Africa,West Africa,transport,0.78,0.39,0.5,High,Medium,0.7,0.32,0.72,84.3,18.0,120,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Guinea,GIN,Sub-Saharan Africa,West Africa,financial_svcs,0.72,0.36,0.5,High,Medium,0.76,0.62,0.08,84.3,18.0,120,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Guinea,GIN,Sub-Saharan Africa,West Africa,education,0.02,0.01,0.5,Low,Low,0.12,0.9,0.22,84.3,18.0,120,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Guinea,GIN,Sub-Saharan Africa,West Africa,domestic_svcs,0.28,0.14,0.5,Low,Low,0.32,0.28,0.8,84.3,18.0,120,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Kenya,KEN,Sub-Saharan Africa,East Africa,agriculture,0.68,0.3,0.63,High,Low,0.72,0.28,0.88,72.1,29.7,245,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Kenya,KEN,Sub-Saharan Africa,East Africa,trade_retail,0.89,0.421,0.63,High,Medium,0.82,0.32,0.42,72.1,29.7,245,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Kenya,KEN,Sub-Saharan Africa,East Africa,construction,0.71,0.447,0.63,High,Medium,0.64,0.28,0.88,72.1,29.7,245,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Kenya,KEN,Sub-Saharan Africa,East Africa,ict_services,0.38,0.296,0.63,Medium,Low,0.28,0.88,0.15,72.1,29.7,245,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Kenya,KEN,Sub-Saharan Africa,East Africa,manufacturing,0.88,0.554,0.63,High,Medium,0.86,0.22,0.78,72.1,29.7,245,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Kenya,KEN,Sub-Saharan Africa,East Africa,health_social,0.18,0.113,0.63,Low,Low,0.22,0.82,0.58,72.1,29.7,245,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Kenya,KEN,Sub-Saharan Africa,East Africa,transport,0.78,0.491,0.63,High,Medium,0.7,0.32,0.72,72.1,29.7,245,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Kenya,KEN,Sub-Saharan Africa,East Africa,financial_svcs,0.72,0.454,0.63,High,Medium,0.76,0.62,0.08,72.1,29.7,245,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Kenya,KEN,Sub-Saharan Africa,East Africa,education,0.02,0.013,0.63,Low,Low,0.12,0.9,0.22,72.1,29.7,245,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Kenya,KEN,Sub-Saharan Africa,East Africa,domestic_svcs,0.28,0.176,0.63,Low,Low,0.32,0.28,0.8,72.1,29.7,245,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Uganda,UGA,Sub-Saharan Africa,East Africa,agriculture,0.68,0.276,0.58,High,Low,0.72,0.28,0.88,78.6,26.2,160,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Uganda,UGA,Sub-Saharan Africa,East Africa,trade_retail,0.89,0.387,0.58,High,Medium,0.82,0.32,0.42,78.6,26.2,160,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Uganda,UGA,Sub-Saharan Africa,East Africa,construction,0.71,0.412,0.58,High,Medium,0.64,0.28,0.88,78.6,26.2,160,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Uganda,UGA,Sub-Saharan Africa,East Africa,ict_services,0.38,0.277,0.58,Medium,Low,0.28,0.88,0.15,78.6,26.2,160,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Uganda,UGA,Sub-Saharan Africa,East Africa,manufacturing,0.88,0.419,0.58,High,Medium,0.86,0.22,0.78,78.6,26.2,160,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Uganda,UGA,Sub-Saharan Africa,East Africa,health_social,0.18,0.104,0.58,Low,Low,0.22,0.82,0.58,78.6,26.2,160,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Uganda,UGA,Sub-Saharan Africa,East Africa,transport,0.78,0.452,0.58,High,Medium,0.7,0.32,0.72,78.6,26.2,160,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Uganda,UGA,Sub-Saharan Africa,East Africa,financial_svcs,0.72,0.418,0.58,High,Medium,0.76,0.62,0.08,78.6,26.2,160,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Uganda,UGA,Sub-Saharan Africa,East Africa,education,0.02,0.012,0.58,Low,Low,0.12,0.9,0.22,78.6,26.2,160,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Uganda,UGA,Sub-Saharan Africa,East Africa,domestic_svcs,0.28,0.162,0.58,Low,Low,0.32,0.28,0.8,78.6,26.2,160,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Tanzania,TZA,Sub-Saharan Africa,East Africa,agriculture,0.68,0.281,0.59,High,Low,0.72,0.28,0.88,74.8,20.2,180,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Tanzania,TZA,Sub-Saharan Africa,East Africa,trade_retail,0.89,0.394,0.59,High,Medium,0.82,0.32,0.42,74.8,20.2,180,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Tanzania,TZA,Sub-Saharan Africa,East Africa,construction,0.71,0.419,0.59,High,Medium,0.64,0.28,0.88,74.8,20.2,180,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Tanzania,TZA,Sub-Saharan Africa,East Africa,ict_services,0.38,0.281,0.59,Medium,Low,0.28,0.88,0.15,74.8,20.2,180,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Tanzania,TZA,Sub-Saharan Africa,East Africa,manufacturing,0.88,0.426,0.59,High,Medium,0.86,0.22,0.78,74.8,20.2,180,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Tanzania,TZA,Sub-Saharan Africa,East Africa,health_social,0.18,0.106,0.59,Low,Low,0.22,0.82,0.58,74.8,20.2,180,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Tanzania,TZA,Sub-Saharan Africa,East Africa,transport,0.78,0.46,0.59,High,Medium,0.7,0.32,0.72,74.8,20.2,180,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Tanzania,TZA,Sub-Saharan Africa,East Africa,financial_svcs,0.72,0.425,0.59,High,Medium,0.76,0.62,0.08,74.8,20.2,180,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Tanzania,TZA,Sub-Saharan Africa,East Africa,education,0.02,0.012,0.59,Low,Low,0.12,0.9,0.22,74.8,20.2,180,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Tanzania,TZA,Sub-Saharan Africa,East Africa,domestic_svcs,0.28,0.165,0.59,Low,Low,0.32,0.28,0.8,74.8,20.2,180,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ethiopia,ETH,Sub-Saharan Africa,East Africa,agriculture,0.68,0.262,0.55,High,Low,0.72,0.28,0.88,80.1,14.8,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ethiopia,ETH,Sub-Saharan Africa,East Africa,trade_retail,0.89,0.367,0.55,High,Medium,0.82,0.32,0.42,80.1,14.8,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ethiopia,ETH,Sub-Saharan Africa,East Africa,construction,0.71,0.391,0.55,High,Medium,0.64,0.28,0.88,80.1,14.8,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ethiopia,ETH,Sub-Saharan Africa,East Africa,ict_services,0.38,0.266,0.55,Medium,Low,0.28,0.88,0.15,80.1,14.8,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ethiopia,ETH,Sub-Saharan Africa,East Africa,manufacturing,0.88,0.397,0.55,High,Medium,0.86,0.22,0.78,80.1,14.8,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ethiopia,ETH,Sub-Saharan Africa,East Africa,health_social,0.18,0.099,0.55,Low,Low,0.22,0.82,0.58,80.1,14.8,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ethiopia,ETH,Sub-Saharan Africa,East Africa,transport,0.78,0.429,0.55,High,Medium,0.7,0.32,0.72,80.1,14.8,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ethiopia,ETH,Sub-Saharan Africa,East Africa,financial_svcs,0.72,0.396,0.55,High,Medium,0.76,0.62,0.08,80.1,14.8,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ethiopia,ETH,Sub-Saharan Africa,East Africa,education,0.02,0.011,0.55,Low,Low,0.12,0.9,0.22,80.1,14.8,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ethiopia,ETH,Sub-Saharan Africa,East Africa,domestic_svcs,0.28,0.154,0.55,Low,Low,0.32,0.28,0.8,80.1,14.8,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Rwanda,RWA,Sub-Saharan Africa,East Africa,agriculture,0.68,0.305,0.64,High,Medium,0.72,0.28,0.88,68.4,28.4,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Rwanda,RWA,Sub-Saharan Africa,East Africa,trade_retail,0.89,0.427,0.64,High,Medium,0.82,0.32,0.42,68.4,28.4,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Rwanda,RWA,Sub-Saharan Africa,East Africa,construction,0.71,0.454,0.64,High,Medium,0.64,0.28,0.88,68.4,28.4,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Rwanda,RWA,Sub-Saharan Africa,East Africa,ict_services,0.38,0.3,0.64,Medium,Medium,0.28,0.88,0.15,68.4,28.4,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Rwanda,RWA,Sub-Saharan Africa,East Africa,manufacturing,0.88,0.563,0.64,High,Medium,0.86,0.22,0.78,68.4,28.4,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Rwanda,RWA,Sub-Saharan Africa,East Africa,health_social,0.18,0.115,0.64,Low,Low,0.22,0.82,0.58,68.4,28.4,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Rwanda,RWA,Sub-Saharan Africa,East Africa,transport,0.78,0.499,0.64,High,Medium,0.7,0.32,0.72,68.4,28.4,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Rwanda,RWA,Sub-Saharan Africa,East Africa,financial_svcs,0.72,0.461,0.64,High,Medium,0.76,0.62,0.08,68.4,28.4,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Rwanda,RWA,Sub-Saharan Africa,East Africa,education,0.02,0.013,0.64,Low,Low,0.12,0.9,0.22,68.4,28.4,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Rwanda,RWA,Sub-Saharan Africa,East Africa,domestic_svcs,0.28,0.179,0.64,Low,Low,0.32,0.28,0.8,68.4,28.4,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mozambique,MOZ,Sub-Saharan Africa,East Africa,agriculture,0.68,0.252,0.53,High,Low,0.72,0.28,0.88,82.4,17.0,130,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mozambique,MOZ,Sub-Saharan Africa,East Africa,trade_retail,0.89,0.354,0.53,High,Medium,0.82,0.32,0.42,82.4,17.0,130,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mozambique,MOZ,Sub-Saharan Africa,East Africa,construction,0.71,0.376,0.53,High,Medium,0.64,0.28,0.88,82.4,17.0,130,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mozambique,MOZ,Sub-Saharan Africa,East Africa,ict_services,0.38,0.258,0.53,Medium,Low,0.28,0.88,0.15,82.4,17.0,130,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mozambique,MOZ,Sub-Saharan Africa,East Africa,manufacturing,0.88,0.382,0.53,High,Medium,0.86,0.22,0.78,82.4,17.0,130,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mozambique,MOZ,Sub-Saharan Africa,East Africa,health_social,0.18,0.095,0.53,Low,Low,0.22,0.82,0.58,82.4,17.0,130,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mozambique,MOZ,Sub-Saharan Africa,East Africa,transport,0.78,0.413,0.53,High,Medium,0.7,0.32,0.72,82.4,17.0,130,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mozambique,MOZ,Sub-Saharan Africa,East Africa,financial_svcs,0.72,0.382,0.53,High,Medium,0.76,0.62,0.08,82.4,17.0,130,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mozambique,MOZ,Sub-Saharan Africa,East Africa,education,0.02,0.011,0.53,Low,Low,0.12,0.9,0.22,82.4,17.0,130,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mozambique,MOZ,Sub-Saharan Africa,East Africa,domestic_svcs,0.28,0.148,0.53,Low,Low,0.32,0.28,0.8,82.4,17.0,130,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zambia,ZMB,Sub-Saharan Africa,East Africa,agriculture,0.68,0.271,0.57,High,Low,0.72,0.28,0.88,78.2,16.0,155,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zambia,ZMB,Sub-Saharan Africa,East Africa,trade_retail,0.89,0.38,0.57,High,Medium,0.82,0.32,0.42,78.2,16.0,155,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zambia,ZMB,Sub-Saharan Africa,East Africa,construction,0.71,0.405,0.57,High,Medium,0.64,0.28,0.88,78.2,16.0,155,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zambia,ZMB,Sub-Saharan Africa,East Africa,ict_services,0.38,0.274,0.57,Medium,Low,0.28,0.88,0.15,78.2,16.0,155,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zambia,ZMB,Sub-Saharan Africa,East Africa,manufacturing,0.88,0.411,0.57,High,Medium,0.86,0.22,0.78,78.2,16.0,155,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zambia,ZMB,Sub-Saharan Africa,East Africa,health_social,0.18,0.103,0.57,Low,Low,0.22,0.82,0.58,78.2,16.0,155,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
